track,student,serviceCode,area,className,operation,backend,frontend,partner,businessKey,endpoint
T01,01,01,Department,Department,Create,Create Department,Update Department Page,T03,departmentCode,departments
T02,02,02,Department,Department,Read,Read Department,Delete Department Page,T04,departmentCode,departments
T03,03,03,Department,Department,Update,Update Department,Search Department Page,T05,departmentCode,departments
T04,04,04,Department,Department,Delete,Delete Department,Create Department Page,T01,departmentCode,departments
T05,05,05,Department,Department,Search,Search Department,Read Department Page,T02,departmentCode,departments
T06,06,06,Member,Member,Create,Create Member,Update Member Page,T08,registrationNumber,members
T07,07,07,Member,Member,Read,Read Member,Delete Member Page,T09,registrationNumber,members
T08,08,08,Member,Member,Update,Update Member,Search Member Page,T10,registrationNumber,members
T09,09,09,Member,Member,Delete,Delete Member,Create Member Page,T06,registrationNumber,members
T10,10,10,Member,Member,Search,Search Member,Read Member Page,T07,registrationNumber,members
T11,11,11,Author,Author,Create,Create Author,Update Author Page,T13,authorCode,authors
T12,12,12,Author,Author,Read,Read Author,Delete Author Page,T14,authorCode,authors
T13,13,13,Author,Author,Update,Update Author,Search Author Page,T15,authorCode,authors
T14,14,14,Author,Author,Delete,Delete Author,Create Author Page,T11,authorCode,authors
T15,15,15,Author,Author,Search,Search Author,Read Author Page,T12,authorCode,authors
T16,16,16,Category,Category,Create,Create Category,Update Category Page,T18,categoryCode,categories
T17,17,17,Category,Category,Read,Read Category,Delete Category Page,T19,categoryCode,categories
T18,18,18,Category,Category,Update,Update Category,Search Category Page,T20,categoryCode,categories
T19,19,19,Category,Category,Delete,Delete Category,Create Category Page,T16,categoryCode,categories
T20,20,20,Category,Category,Search,Search Category,Read Category Page,T17,categoryCode,categories
T21,21,21,Publisher,Publisher,Create,Create Publisher,Update Publisher Page,T23,publisherCode,publishers
T22,22,22,Publisher,Publisher,Read,Read Publisher,Delete Publisher Page,T24,publisherCode,publishers
T23,23,23,Publisher,Publisher,Update,Update Publisher,Search Publisher Page,T25,publisherCode,publishers
T24,24,24,Publisher,Publisher,Delete,Delete Publisher,Create Publisher Page,T21,publisherCode,publishers
T25,25,25,Publisher,Publisher,Search,Search Publisher,Read Publisher Page,T22,publisherCode,publishers
T26,26,26,Book,Book,Create,Create Book,Update Book Page,T28,isbn,books
T27,27,27,Book,Book,Read,Read Book,Delete Book Page,T29,isbn,books
T28,28,28,Book,Book,Update,Update Book,Search Book Page,T30,isbn,books
T29,29,29,Book,Book,Delete,Delete Book,Create Book Page,T26,isbn,books
T30,30,30,Book,Book,Search,Search Book,Read Book Page,T27,isbn,books
T31,31,31,Book Copy,BookCopy,Create,Create Book Copy,Update Book Copy Page,T33,accessionNumber,book-copies
T32,32,32,Book Copy,BookCopy,Read,Read Book Copy,Delete Book Copy Page,T34,accessionNumber,book-copies
T33,33,33,Book Copy,BookCopy,Update,Update Book Copy,Search Book Copy Page,T35,accessionNumber,book-copies
T34,34,34,Book Copy,BookCopy,Delete,Delete Book Copy,Create Book Copy Page,T31,accessionNumber,book-copies
T35,35,35,Book Copy,BookCopy,Search,Search Book Copy,Read Book Copy Page,T32,accessionNumber,book-copies
T36,36,36,Membership,Membership,Create,Create Membership,Update Membership Page,T38,membershipNumber,memberships
T37,37,37,Membership,Membership,Read,Read Membership,Delete Membership Page,T39,membershipNumber,memberships
T38,38,38,Membership,Membership,Update,Update Membership,Search Membership Page,T40,membershipNumber,memberships
T39,39,39,Membership,Membership,Delete,Delete Membership,Create Membership Page,T36,membershipNumber,memberships
T40,40,40,Membership,Membership,Search,Search Membership,Read Membership Page,T37,membershipNumber,memberships
T41,41,41,Book Issue,BookIssue,Create,Create Book Issue,Update Book Issue Page,T43,issueNumber,issues
T42,42,42,Book Issue,BookIssue,Read,Read Book Issue,Delete Book Issue Page,T44,issueNumber,issues
T43,43,43,Book Issue,BookIssue,Update,Update Book Issue,Search Book Issue Page,T45,issueNumber,issues
T44,44,44,Book Issue,BookIssue,Delete,Delete Book Issue,Create Book Issue Page,T41,issueNumber,issues
T45,45,45,Book Issue,BookIssue,Search,Search Book Issue,Read Book Issue Page,T42,issueNumber,issues
T46,46,46,Book Return,BookReturn,Create,Create Book Return,Update Book Return Page,T48,returnNumber,returns
T47,47,47,Book Return,BookReturn,Read,Read Book Return,Delete Book Return Page,T49,returnNumber,returns
T48,48,48,Book Return,BookReturn,Update,Update Book Return,Search Book Return Page,T50,returnNumber,returns
T49,49,49,Book Return,BookReturn,Delete,Delete Book Return,Create Book Return Page,T46,returnNumber,returns
T50,50,50,Book Return,BookReturn,Search,Search Book Return,Read Book Return Page,T47,returnNumber,returns
T51,51,51,Reservation,Reservation,Create,Create Reservation,Update Reservation Page,T53,reservationNumber,reservations
T52,52,52,Reservation,Reservation,Read,Read Reservation,Delete Reservation Page,T54,reservationNumber,reservations
T53,53,53,Reservation,Reservation,Update,Update Reservation,Search Reservation Page,T55,reservationNumber,reservations
T54,54,54,Reservation,Reservation,Delete,Delete Reservation,Create Reservation Page,T51,reservationNumber,reservations
T55,55,55,Reservation,Reservation,Search,Search Reservation,Read Reservation Page,T52,reservationNumber,reservations
T56,56,56,Fine,Fine,Create,Create Fine,Update Fine Page,T58,fineNumber,fines
T57,57,57,Fine,Fine,Read,Read Fine,Delete Fine Page,T59,fineNumber,fines
T58,58,58,Fine,Fine,Update,Update Fine,Search Fine Page,T60,fineNumber,fines
T59,59,59,Fine,Fine,Delete,Delete Fine,Create Fine Page,T56,fineNumber,fines
T60,60,60,Fine,Fine,Search,Search Fine,Read Fine Page,T57,fineNumber,fines
